year,GEOID,variable,renter_occ_units
2015,11548,B25032_013,118
2016,11548,B25032_013,135
2017,11548,B25032_013,178
2018,11548,B25032_013,161
2019,11548,B25032_013,199
2020,11548,B25032_013,179
2021,11548,B25032_013,102
2012,11566,B25032_013,469
2013,11566,B25032_013,630
2014,11566,B25032_013,615
2015,11566,B25032_013,581
2016,11566,B25032_013,578
2017,11566,B25032_013,628
2018,11566,B25032_013,529
2019,11566,B25032_013,552
2020,11566,B25032_013,496
2021,11566,B25032_013,483
2012,11577,B25032_013,534
2013,11577,B25032_013,550
2014,11577,B25032_013,451
2015,11577,B25032_013,484
2016,11577,B25032_013,543
2017,11577,B25032_013,604
2018,11577,B25032_013,564
2019,11577,B25032_013,547
2020,11577,B25032_013,569
2021,11577,B25032_013,397
2012,11580,B25032_013,2065
2013,11580,B25032_013,2261
2014,11580,B25032_013,2355
2015,11580,B25032_013,2233
2016,11580,B25032_013,2255
2017,11580,B25032_013,2049
2018,11580,B25032_013,2105
2019,11580,B25032_013,1860
2020,11580,B25032_013,1956
2021,11580,B25032_013,1942
2012,11598,B25032_013,504
2013,11598,B25032_013,389
2014,11598,B25032_013,397
2015,11598,B25032_013,425
2016,11598,B25032_013,440
2017,11598,B25032_013,452
2018,11598,B25032_013,564
2019,11598,B25032_013,561
2020,11598,B25032_013,502
2021,11598,B25032_013,513
2012,11691,B25032_013,14444
2013,11691,B25032_013,14117
2014,11691,B25032_013,14503
2015,11691,B25032_013,14766
2016,11691,B25032_013,15153
2017,11691,B25032_013,15182
2018,11691,B25032_013,15630
2019,11691,B25032_013,16014
2020,11691,B25032_013,15929
2021,11691,B25032_013,15959
2012,11692,B25032_013,3807
2013,11692,B25032_013,3974
2014,11692,B25032_013,4066
2015,11692,B25032_013,4066
2016,11692,B25032_013,4069
2017,11692,B25032_013,4076
2018,11692,B25032_013,4477
2019,11692,B25032_013,4715
2020,11692,B25032_013,4703
2021,11692,B25032_013,5269
2012,11693,B25032_013,2423
2013,11693,B25032_013,2526
2014,11693,B25032_013,2492
2015,11693,B25032_013,2371
2016,11693,B25032_013,2389
2017,11693,B25032_013,2424
2018,11693,B25032_013,2389
2019,11693,B25032_013,2420
2020,11693,B25032_013,2683
2021,11693,B25032_013,2833
2012,11694,B25032_013,3546
2013,11694,B25032_013,3620
2014,11694,B25032_013,3772
2015,11694,B25032_013,3946
2016,11694,B25032_013,4002
2017,11694,B25032_013,4090
2018,11694,B25032_013,3963
2019,11694,B25032_013,3894
2020,11694,B25032_013,3762
2021,11694,B25032_013,3892
2012,11731,B25032_013,1056
2013,11731,B25032_013,1113
2014,11731,B25032_013,1091
2015,11731,B25032_013,1259
2016,11731,B25032_013,1343
2017,11731,B25032_013,1272
2018,11731,B25032_013,1120
2019,11731,B25032_013,930
2020,11731,B25032_013,1055
2021,11731,B25032_013,968
2012,11798,B25032_013,1296
2013,11798,B25032_013,1251
2014,11798,B25032_013,1286
2015,11798,B25032_013,1191
2016,11798,B25032_013,1128
2017,11798,B25032_013,1077
2018,11798,B25032_013,956
2019,11798,B25032_013,949
2020,11798,B25032_013,1033
2021,11798,B25032_013,1398
2012,11968,B25032_013,1073
2013,11968,B25032_013,1059
2014,11968,B25032_013,1080
2015,11968,B25032_013,1133
2016,11968,B25032_013,1038
2017,11968,B25032_013,852
2018,11968,B25032_013,865
2019,11968,B25032_013,812
2020,11968,B25032_013,729
2021,11968,B25032_013,883
2012,12423,B25032_013,94
2013,12423,B25032_013,64
2014,12423,B25032_013,74
2015,12423,B25032_013,86
2016,12423,B25032_013,94
2017,12423,B25032_013,102
2018,12423,B25032_013,120
2019,12423,B25032_013,108
2020,12423,B25032_013,122
2021,12423,B25032_013,87
2012,12428,B25032_013,1016
2013,12428,B25032_013,926
2014,12428,B25032_013,840
2015,12428,B25032_013,872
2016,12428,B25032_013,952
2017,12428,B25032_013,1117
2018,12428,B25032_013,1144
2019,12428,B25032_013,1089
2020,12428,B25032_013,1079
2021,12428,B25032_013,1195
2012,12435,B25032_013,19
2013,12435,B25032_013,17
2014,12435,B25032_013,20
2015,12435,B25032_013,50
2016,12435,B25032_013,47
2017,12435,B25032_013,44
2018,12435,B25032_013,48
2019,12435,B25032_013,31
2020,12435,B25032_013,0
2021,12435,B25032_013,0
2012,12458,B25032_013,232
2013,12458,B25032_013,301
2014,12458,B25032_013,270
2015,12458,B25032_013,305
2016,12458,B25032_013,323
2017,12458,B25032_013,275
2018,12458,B25032_013,298
2019,12458,B25032_013,292
2020,12458,B25032_013,333
2021,12458,B25032_013,113
2012,12466,B25032_013,231
2013,12466,B25032_013,190
2014,12466,B25032_013,192
2015,12466,B25032_013,163
2016,12466,B25032_013,181
2017,12466,B25032_013,168
2018,12466,B25032_013,177
2019,12466,B25032_013,158
2020,12466,B25032_013,169
2021,12466,B25032_013,166
2012,12473,B25032_013,10
2013,12473,B25032_013,9
2014,12473,B25032_013,12
2015,12473,B25032_013,10
2016,12473,B25032_013,7
2017,12473,B25032_013,0
2018,12473,B25032_013,0
2019,12473,B25032_013,0
2020,12473,B25032_013,0
2021,12473,B25032_013,23
2012,12528,B25032_013,1715
2013,12528,B25032_013,1733
2014,12528,B25032_013,1690
2015,12528,B25032_013,1629
2016,12528,B25032_013,1545
2017,12528,B25032_013,1602
2018,12528,B25032_013,1583
2019,12528,B25032_013,1765
2020,12528,B25032_013,1723
2021,12528,B25032_013,1748
2012,12701,B25032_013,2261
2013,12701,B25032_013,2565
2014,12701,B25032_013,2565
2015,12701,B25032_013,2547
2016,12701,B25032_013,2294
2017,12701,B25032_013,2261
2018,12701,B25032_013,2205
2019,12701,B25032_013,2149
2020,12701,B25032_013,2058
2021,12701,B25032_013,2408
2012,12733,B25032_013,103
2013,12733,B25032_013,109
2014,12733,B25032_013,87
2015,12733,B25032_013,158
2016,12733,B25032_013,181
2017,12733,B25032_013,170
2018,12733,B25032_013,176
2019,12733,B25032_013,165
2020,12733,B25032_013,99
2021,12733,B25032_013,104
2012,12734,B25032_013,106
2013,12734,B25032_013,95
2014,12734,B25032_013,106
2015,12734,B25032_013,88
2016,12734,B25032_013,100
2017,12734,B25032_013,101
2018,12734,B25032_013,121
2019,12734,B25032_013,139
2020,12734,B25032_013,164
2021,12734,B25032_013,155
2012,12737,B25032_013,169
2013,12737,B25032_013,155
2014,12737,B25032_013,120
2015,12737,B25032_013,131
2016,12737,B25032_013,135
2017,12737,B25032_013,94
2018,12737,B25032_013,94
2019,12737,B25032_013,91
2020,12737,B25032_013,54
2021,12737,B25032_013,48
2012,12750,B25032_013,12
2013,12750,B25032_013,20
2014,12750,B25032_013,5
2015,12750,B25032_013,25
2016,12750,B25032_013,23
2017,12750,B25032_013,20
2018,12750,B25032_013,25
2019,12750,B25032_013,21
2020,12750,B25032_013,17
2021,12750,B25032_013,3
2012,12751,B25032_013,141
2013,12751,B25032_013,165
2014,12751,B25032_013,183
2015,12751,B25032_013,186
2016,12751,B25032_013,141
2017,12751,B25032_013,176
2018,12751,B25032_013,163
2019,12751,B25032_013,191
2020,12751,B25032_013,204
2021,12751,B25032_013,225
2012,12754,B25032_013,1332
2013,12754,B25032_013,1402
2014,12754,B25032_013,1300
2015,12754,B25032_013,1269
2016,12754,B25032_013,1188
2017,12754,B25032_013,1199
2018,12754,B25032_013,1098
2019,12754,B25032_013,1235
2020,12754,B25032_013,1304
2021,12754,B25032_013,1526
2012,12758,B25032_013,569
2013,12758,B25032_013,514
2014,12758,B25032_013,515
2015,12758,B25032_013,502
2016,12758,B25032_013,413
2017,12758,B25032_013,476
2018,12758,B25032_013,484
2019,12758,B25032_013,475
2020,12758,B25032_013,449
2021,12758,B25032_013,348
2012,12759,B25032_013,245
2013,12759,B25032_013,174
2014,12759,B25032_013,145
2015,12759,B25032_013,176
2016,12759,B25032_013,126
2017,12759,B25032_013,172
2018,12759,B25032_013,199
2019,12759,B25032_013,182
2020,12759,B25032_013,237
2021,12759,B25032_013,178
2012,12763,B25032_013,65
2013,12763,B25032_013,70
2014,12763,B25032_013,61
2015,12763,B25032_013,67
2016,12763,B25032_013,38
2017,12763,B25032_013,51
2018,12763,B25032_013,60
2019,12763,B25032_013,46
2020,12763,B25032_013,48
2021,12763,B25032_013,63
2012,12764,B25032_013,178
2013,12764,B25032_013,134
2014,12764,B25032_013,157
2015,12764,B25032_013,170
2016,12764,B25032_013,165
2017,12764,B25032_013,180
2018,12764,B25032_013,162
2019,12764,B25032_013,149
2020,12764,B25032_013,180
2021,12764,B25032_013,150
2012,12768,B25032_013,152
2013,12768,B25032_013,138
2014,12768,B25032_013,91
2015,12768,B25032_013,104
2016,12768,B25032_013,90
2017,12768,B25032_013,109
2018,12768,B25032_013,59
2019,12768,B25032_013,68
2020,12768,B25032_013,55
2021,12768,B25032_013,19
2012,12779,B25032_013,557
2013,12779,B25032_013,480
2014,12779,B25032_013,487
2015,12779,B25032_013,523
2016,12779,B25032_013,441
2017,12779,B25032_013,362
2018,12779,B25032_013,460
2019,12779,B25032_013,527
2020,12779,B25032_013,453
2021,12779,B25032_013,362
2012,12783,B25032_013,170
2013,12783,B25032_013,168
2014,12783,B25032_013,78
2015,12783,B25032_013,123
2016,12783,B25032_013,116
2017,12783,B25032_013,78
2018,12783,B25032_013,109
2019,12783,B25032_013,132
2020,12783,B25032_013,117
2021,12783,B25032_013,120
2012,12786,B25032_013,71
2013,12786,B25032_013,89
2014,12786,B25032_013,73
2015,12786,B25032_013,77
2016,12786,B25032_013,112
2017,12786,B25032_013,105
2018,12786,B25032_013,55
2019,12786,B25032_013,55
2020,12786,B25032_013,51
2021,12786,B25032_013,29
2012,12788,B25032_013,351
2013,12788,B25032_013,365
2014,12788,B25032_013,279
2015,12788,B25032_013,214
2016,12788,B25032_013,174
2017,12788,B25032_013,121
2018,12788,B25032_013,126
2019,12788,B25032_013,237
2020,12788,B25032_013,251
2021,12788,B25032_013,236
2012,12789,B25032_013,374
2013,12789,B25032_013,397
2014,12789,B25032_013,434
2015,12789,B25032_013,449
2016,12789,B25032_013,481
2017,12789,B25032_013,506
2018,12789,B25032_013,425
2019,12789,B25032_013,423
2020,12789,B25032_013,405
2021,12789,B25032_013,333
2012,13731,B25032_013,54
2013,13731,B25032_013,57
2014,13731,B25032_013,62
2015,13731,B25032_013,44
2016,13731,B25032_013,69
2017,13731,B25032_013,57
2018,13731,B25032_013,69
2019,13731,B25032_013,58
2020,13731,B25032_013,71
2021,13731,B25032_013,76
