violationid,bbl,housenumber,streetname,zip,censustract,boro,inspectiondate
12256769,NA,433,BEACH 37 STREET,11691,NA,QUEENS,2018-02-23
12269234,NA,451,MAPLE STREET,11225,NA,BROOKLYN,2018-03-02
12334413,NA,55-27,MYRTLE AVENUE,11385,NA,QUEENS,2018-04-12
12392508,NA,761,43 STREET,11219,NA,BROOKLYN,2018-05-18
12511541,NA,782,MARCY AVENUE,11206,NA,BROOKLYN,2018-08-02
12511556,NA,782,MARCY AVENUE,11206,NA,BROOKLYN,2018-08-02
12530803,NA,40-29,72 STREET,11377,NA,QUEENS,2018-08-14
12530819,NA,40-29,72 STREET,11377,NA,QUEENS,2018-08-14
12537574,NA,761,43 STREET,11232,NA,BROOKLYN,2018-08-17
12723921,NA,1680,PELHAM PARKWAY SOUTH,10461,NA,BRONX,2018-10-29
12811543,NA,3864,WHITE PLAINS ROAD,10462,NA,BRONX,2018-12-17
12834198,NA,180,BEACH 27 STREET,11691,NA,QUEENS,2019-01-02
12849338,NA,130,SEAVIEW AVENUE,10305,NA,STATEN ISLAND,2019-01-10
12878442,NA,180,BEACH 27 STREET,11691,NA,QUEENS,2019-01-28
12886698,NA,1326,OCEAN AVENUE,11230,NA,BROOKLYN,2019-01-31
12900059,NA,3864,WHITE PLAINS ROAD,10462,NA,BRONX,2019-02-07
12900134,NA,3864,WHITE PLAINS ROAD,10462,NA,BRONX,2019-02-07
12925992,NA,532,EAST 142 STREET,10454,NA,BRONX,2019-02-22
13317952,NA,881,ALBANY AVENUE,11203,NA,BROOKLYN,2019-10-04
13337238,NA,3864,WHITE PLAINS ROAD,10462,NA,BRONX,2019-10-11
13342697,NA,3864,WHITE PLAINS ROAD,10462,NA,BRONX,2019-10-16
13342711,NA,3864,WHITE PLAINS ROAD,10462,NA,BRONX,2019-10-16
13456241,NA,881,ALBANY AVENUE,11203,NA,BROOKLYN,2019-11-16
13456243,NA,881,ALBANY AVENUE,11203,NA,BROOKLYN,2019-11-16
13492922,NA,669,BUSHWICK AVENUE,11221,NA,BROOKLYN,2019-12-08
13492925,NA,669,BUSHWICK AVENUE,11221,NA,BROOKLYN,2019-12-08
13492946,NA,669,BUSHWICK AVENUE,11221,NA,BROOKLYN,2019-12-08
13625446,NA,1754,ANTHONY AVENUE,10457,NA,BRONX,2020-02-28
