year,GEOID,tot_units,tot_vac_units,pct_vac,tot_occ_units,renter_occ_units,pct_rent,tot_pop_rou,med_hh_inc_rou,med_hh_inc_rou_2020_adj,med_yr_blt_rou,med_yr_moved_in_rou,med_gross_rent,med_gross_rent_2020_adj,med_rent_burden,tot_college_degree_rou,pct_college_deg_rou,tot_wh_rou,pct_wh_rou,tot_bl_rou,pct_bl_rou,tot_asn_rou,pct_asn_rou,tot_ltx_rou,pct_ltx_rou,tot_hh,tot_hh_pov,pct_pov
2016,11203,30374,2895,0.11,27479,16646,0.61,40937,35750,38551,1939,2007,1208,1303,36.5,2961,0.18,512,0.03,14954,0.9,290,0.02,1071,0.06,27479,4989,0.18
2017,11203,30501,3037,0.11,27464,16079,0.59,39708,36416,38450,1939,2008,1262,1332,37.4,2931,0.18,465,0.03,14512,0.9,218,0.01,1102,0.07,27464,4774,0.17
2018,11203,30926,3165,0.11,27761,16483,0.59,39981,40055,41284,0,2009,1306,1346,36,3240,0.2,511,0.03,14714,0.89,284,0.02,1118,0.07,27761,4641,0.17
2019,11203,31396,3120,0.11,28276,16808,0.59,40985,42835,43363,0,2010,1342,1359,35.2,3379,0.2,461,0.03,15037,0.89,285,0.02,1121,0.07,28276,4261,0.15
2020,11203,32569,3320,0.11,29249,17415,0.6,41542,44230,44230,0,2011,1348,1348,35.3,4122,0.24,544,0.03,15102,0.87,310,0.02,1163,0.07,29249,4330,0.15
2012,11204,26653,1569,0.06,25084,15535,0.62,46203,36869,41561,1939,2003,1148,1294,35.7,4057,0.26,9980,0.64,161,0.01,2808,0.18,2486,0.16,25084,4770,0.19
2013,11204,26842,1621,0.06,25221,15873,0.63,47930,38716,43013,1939,2004,1171,1301,34.8,4108,0.26,10178,0.64,205,0.01,2765,0.17,2488,0.16,25221,4944,0.2
2014,11204,26658,1785,0.07,24873,15363,0.62,46714,36691,40112,1939,2005,1205,1317,36.5,4066,0.26,9629,0.63,185,0.01,2975,0.19,2342,0.15,24873,5202,0.21
2015,11204,26307,1827,0.07,24480,15073,0.62,46318,37577,41032,1939,2006,1217,1329,35.3,4029,0.27,9475,0.63,210,0.01,3000,0.2,2159,0.14,24480,5312,0.22
2016,11204,26152,1845,0.08,24307,15325,0.63,46633,38258,41255,1939,2007,1261,1360,36.3,4295,0.28,9484,0.62,272,0.02,3138,0.2,2197,0.14,24307,5450,0.22
2017,11204,26143,1900,0.08,24243,15107,0.62,46501,38067,40193,1939,2009,1313,1386,39.2,4020,0.27,9087,0.6,273,0.02,3223,0.21,2283,0.15,24243,5133,0.21
2018,11204,25732,2131,0.09,23601,14853,0.63,45157,38264,39438,0,2010,1375,1417,40.9,4279,0.29,8625,0.58,270,0.02,3221,0.22,2446,0.16,23601,4925,0.21
2019,11204,25569,2172,0.09,23397,14588,0.62,45252,41101,41608,0,2011,1420,1438,40.3,4381,0.3,8306,0.57,279,0.02,3180,0.22,2532,0.17,23397,4671,0.2
2020,11204,25783,2263,0.1,23520,14600,0.62,45669,43778,43778,0,2011,1456,1456,40.1,4823,0.33,8113,0.56,285,0.02,3321,0.23,2581,0.18,23520,4426,0.19
2012,11205,16736,2339,0.16,14397,11162,0.78,29155,33720,38011,1939,2004,1128,1272,30,3801,0.34,3627,0.32,4267,0.38,536,0.05,2793,0.25,14397,4117,0.29
2013,11205,16725,2069,0.14,14656,11408,0.78,30981,35012,38898,1941,2004,1111,1234,30.1,3899,0.34,3813,0.33,4208,0.37,606,0.05,2862,0.25,14656,4175,0.28
2014,11205,16925,1835,0.12,15090,11739,0.78,30994,35315,38608,1943,2006,1182,1292,30.2,4195,0.36,3936,0.34,4274,0.36,729,0.06,2846,0.24,15090,3968,0.26
2015,11205,16871,1673,0.11,15198,12059,0.79,31612,35534,38801,1944,2007,1209,1320,29.9,4394,0.36,4143,0.34,4329,0.36,830,0.07,2730,0.23,15198,4156,0.27
2016,11205,17089,1485,0.1,15604,12192,0.78,32036,35817,38623,1945,2008,1229,1325,30.7,4555,0.37,4226,0.35,4353,0.36,892,0.07,2715,0.22,15604,4206,0.27
2017,11205,17217,1374,0.09,15843,12189,0.77,32370,38972,41149,1945,2010,1299,1372,30.1,4743,0.39,4345,0.36,4291,0.35,910,0.07,2606,0.21,15843,3942,0.25
2018,11205,17664,1370,0.08,16294,12369,0.76,32818,42654,43963,1946,2011,1420,1464,30.8,5013,0.41,4489,0.36,4503,0.36,847,0.07,2469,0.2,16294,4033,0.25
2019,11205,18101,1642,0.1,16459,12334,0.75,32545,45635,46198,1947,2011,1454,1472,31.1,4909,0.4,4643,0.38,4527,0.37,806,0.07,2331,0.19,16459,4047,0.25
2020,11205,18372,1593,0.09,16779,12205,0.73,33716,48900,48900,1949,2012,1632,1632,31.2,5001,0.41,4773,0.39,4292,0.35,851,0.07,2336,0.19,16779,4026,0.24
2012,11206,30828,2910,0.1,27918,24968,0.89,69030,26295,29641,1958,2002,809,912,31.5,4536,0.18,5215,0.21,7492,0.3,1321,0.05,11638,0.47,27918,9488,0.34
2013,11206,31173,2859,0.1,28314,25343,0.9,70445,26190,29097,1959,2003,842,935,32.5,4832,0.19,5709,0.23,7261,0.29,1317,0.05,11925,0.47,28314,9776,0.35
2014,11206,31582,2602,0.09,28980,25683,0.89,71047,27242,29782,1958,2004,893,976,31.6,5324,0.21,6256,0.24,7223,0.28,1394,0.05,11829,0.46,28980,9502,0.33
2015,11206,31686,2161,0.07,29525,26318,0.89,72669,27107,29600,1958,2005,912,996,32.1,5911,0.22,6666,0.25,7540,0.29,1642,0.06,11626,0.44,29525,10087,0.34
2016,11206,31977,1870,0.06,30107,27004,0.9,75307,28163,30370,1959,2006,942,1016,32,6581,0.24,6871,0.25,7713,0.29,2034,0.08,11626,0.43,30107,10177,0.34
2017,11206,32205,1689,0.06,30516,27428,0.9,76680,30558,32265,1959,2007,992,1047,31.7,7087,0.26,7155,0.26,8129,0.3,1996,0.07,11434,0.42,30516,10421,0.34
2018,11206,32775,1733,0.06,31042,27768,0.89,76276,32224,33213,1959,2008,1068,1101,31.3,7410,0.27,7720,0.28,7702,0.28,2026,0.07,11488,0.41,31042,10296,0.33
2019,11206,33028,1865,0.06,31163,28163,0.9,76646,36074,36519,1960,2010,1142,1156,31.4,8123,0.29,7848,0.28,7421,0.26,2104,0.07,11641,0.41,31163,9698,0.31
2020,11206,33188,1699,0.05,31489,28090,0.89,74819,39459,39459,1960,2011,1199,1199,31.5,8658,0.31,8334,0.3,6610,0.24,2067,0.07,11364,0.4,31489,9794,0.31
2012,11207,34255,3247,0.1,31008,23333,0.75,65276,25713,28985,1951,2003,996,1123,34.5,2309,0.1,680,0.03,15528,0.67,202,0.01,7455,0.32,31008,10241,0.33
2013,11207,34159,3280,0.11,30879,23504,0.76,66292,26038,28928,1953,2004,1027,1141,34.2,2411,0.1,667,0.03,15522,0.66,220,0.01,7742,0.33,30879,10192,0.33
2014,11207,34841,3193,0.1,31648,24343,0.77,68405,26835,29337,1955,2005,1054,1152,34.9,2461,0.1,871,0.04,15994,0.66,218,0.01,8059,0.33,31648,10696,0.34
2015,11207,35581,3576,0.11,32005,24527,0.77,68343,27422,29944,1954,2006,1063,1161,35.7,2870,0.12,838,0.03,15839,0.65,363,0.01,8219,0.34,32005,10485,0.33
2016,11207,36004,3884,0.12,32120,24243,0.75,65298,27079,29201,1955,2008,1079,1164,35.7,2968,0.12,780,0.03,16061,0.66,354,0.01,7709,0.32,32120,10334,0.32
2017,11207,36481,3856,0.12,32625,24552,0.75,63866,27552,29091,1955,2010,1124,1187,38.1,3252,0.13,1021,0.04,16082,0.66,399,0.02,7639,0.31,32625,10631,0.33
2018,11207,37265,4025,0.12,33240,24800,0.75,62598,28942,29830,1954,2010,1178,1214,38.7,3201,0.13,1191,0.05,15981,0.64,371,0.01,7669,0.31,33240,10413,0.31
2019,11207,37857,4238,0.13,33619,24619,0.73,59987,30010,30380,1953,2011,1219,1234,38.6,3612,0.15,1222,0.05,16009,0.65,405,0.02,7455,0.3,33619,10143,0.3
2020,11207,37605,3595,0.11,34010,24766,0.73,59904,31024,31024,1953,2012,1306,1306,37.2,3535,0.14,1152,0.05,15845,0.64,288,0.01,7875,0.32,34010,9882,0.29
2012,11208,33651,4864,0.17,28787,21260,0.74,65914,27983,31544,1948,2004,1115,1257,39.4,1509,0.07,730,0.03,11607,0.55,472,0.02,8897,0.42,28787,9200,0.32
2013,11208,34048,5269,0.18,28779,21564,0.75,66220,27518,30572,1951,2004,1132,1258,38.3,1459,0.07,783,0.04,12027,0.56,563,0.03,8790,0.41,28779,9623,0.33
2014,11208,34968,5948,0.2,29020,21868,0.75,66708,28110,30731,1954,2005,1137,1243,37.9,1703,0.08,727,0.03,12730,0.58,611,0.03,8569,0.39,29020,9660,0.33
2015,11208,35583,5777,0.19,29806,22453,0.75,67623,30404,33200,1953,2006,1137,1242,36.8,2241,0.1,616,0.03,13053,0.58,686,0.03,8904,0.4,29806,9066,0.3
2016,11208,35883,5242,0.17,30641,22847,0.75,68389,31758,34246,1952,2008,1171,1263,36.2,2553,0.11,534,0.02,13210,0.58,796,0.03,9117,0.4,30641,8947,0.29
2017,11208,36331,4938,0.16,31393,23382,0.74,70626,32765,34595,1953,2009,1222,1290,36,2666,0.11,632,0.03,13564,0.58,824,0.04,9141,0.39,31393,8864,0.28
2018,11208,36961,4780,0.15,32181,23804,0.74,70186,33321,34343,1954,2010,1260,1299,35.9,2924,0.12,605,0.03,13662,0.57,782,0.03,9630,0.4,32181,8535,0.27
2019,11208,37867,4551,0.14,33316,24388,0.73,70067,34770,35199,1955,2011,1287,1303,35.6,2973,0.12,642,0.03,13837,0.57,770,0.03,9856,0.4,33316,8667,0.26
2020,11208,38573,4205,0.12,34368,25314,0.74,70329,36580,36580,1953,2012,1357,1357,36,3740,0.15,762,0.03,13784,0.54,977,0.04,10443,0.41,34368,8683,0.25
2012,11209,32929,1935,0.06,30994,19948,0.64,43326,48859,55077,1939,2004,1256,1416,29.9,9066,0.45,14215,0.71,643,0.03,1397,0.07,3607,0.18,30994,3763,0.12
2013,11209,33059,2182,0.07,30877,19921,0.65,43892,47854,53165,1939,2004,1291,1434,30.5,8814,0.44,13987,0.7,704,0.04,1552,0.08,3488,0.18,30877,3926,0.13
2014,11209,33408,2492,0.08,30916,20222,0.65,44594,50233,54917,1939,2006,1330,1454,30,8874,0.44,13911,0.69,752,0.04,1725,0.09,3610,0.18,30916,4267,0.14
2015,11209,33265,2782,0.09,30483,19777,0.65,43421,52204,57004,1939,2007,1362,1487,29.3,9089,0.46,13587,0.69,666,0.03,1606,0.08,3688,0.19,30483,3967,0.13
2016,11209,32901,3450,0.12,29451,18912,0.64,41273,54299,58553,1939,2009,1402,1512,29.1,9171,0.48,13189,0.7,613,0.03,1436,0.08,3401,0.18,29451,3869,0.13
2017,11209,33086,3866,0.13,29220,18371,0.63,40064,59732,63068,1939,2010,1461,1543,28.8,9070,0.49,12781,0.7,660,0.04,1340,0.07,3249,0.18,29220,3828,0.13
2018,11209,33223,3926,0.13,29297,18269,0.62,39734,62893,64823,0,2011,1510,1556,28.8,9139,0.5,12403,0.68,823,0.05,1320,0.07,3338,0.18,29297,3870,0.13
2019,11209,33110,3758,0.13,29352,17976,0.61,39184,67827,68664,0,2012,1604,1624,27.5,9491,0.53,12118,0.67,849,0.05,1362,0.08,3314,0.18,29352,3521,0.12
2020,11209,32837,3651,0.13,29186,17812,0.61,39783,67880,67880,0,2013,1626,1626,27.9,9403,0.53,11622,0.65,1078,0.06,1443,0.08,3245,0.18,29186,3283,0.11
2012,11210,23227,1537,0.07,21690,11573,0.53,29716,40450,45598,1947,2003,1081,1219,31.1,2569,0.22,2203,0.19,7830,0.68,400,0.03,1115,0.1,21690,3176,0.15
2013,11210,23126,1606,0.07,21520,11538,0.54,30498,41221,45796,1946,2004,1104,1227,31.2,2614,0.23,2035,0.18,7868,0.68,428,0.04,1164,0.1,21520,3077,0.14
2014,11210,23509,1603,0.07,21906,11898,0.54,31811,41160,44998,1945,2005,1130,1235,31.8,2840,0.24,1868,0.16,8262,0.69,597,0.05,1179,0.1,21906,3208,0.15
2015,11210,23535,1610,0.07,21925,11873,0.54,32343,41527,45345,1943,2006,1166,1273,32.4,3308,0.28,1726,0.15,8406,0.71,573,0.05,1144,0.1,21925,3124,0.14
2016,11210,24086,1835,0.08,22251,12359,0.56,33891,43641,47060,1941,2007,1223,1319,32.4,3527,0.29,1701,0.14,8922,0.72,482,0.04,1231,0.1,22251,3085,0.14
2017,11210,24112,1802,0.08,22310,12270,0.55,33406,46622,49226,1941,2008,1280,1351,32.1,3526,0.29,1586,0.13,8884,0.72,521,0.04,1237,0.1,22310,2897,0.13
2018,11210,24128,1861,0.08,22267,12361,0.56,33181,50645,52199,0,2009,1353,1395,31.2,3577,0.29,1615,0.13,9044,0.73,510,0.04,1184,0.1,22267,2781,0.12
2019,11210,23801,1908,0.09,21893,12229,0.56,32441,53085,53740,0,2010,1400,1417,29.8,3632,0.3,1701,0.14,8949,0.73,452,0.04,1119,0.09,21893,2550,0.12
2020,11210,23734,1883,0.09,21851,12250,0.56,30844,54211,54211,1942,2011,1446,1446,30.2,3370,0.28,1849,0.15,8515,0.7,433,0.04,1351,0.11,21851,2509,0.11
2012,11211,36772,2693,0.08,34079,28804,0.85,75008,40202,45318,1939,2003,1190,1341,31.9,11632,0.4,17586,0.61,1675,0.06,1135,0.04,8479,0.29,34079,9667,0.28
2013,11211,38089,2562,0.07,35527,30055,0.85,77579,41806,46446,1939,2004,1206,1340,30.8,12333,0.41,18252,0.61,1749,0.06,1147,0.04,8899,0.3,35527,9847,0.28
2014,11211,39015,2593,0.07,36422,30679,0.84,78482,45196,49410,1939,2005,1337,1462,30.8,13286,0.43,18606,0.61,1969,0.06,1271,0.04,8913,0.29,36422,9240,0.25
2015,11211,39665,2284,0.06,37381,31447,0.84,81747,49146,53665,1944,2007,1427,1558,30.4,14291,0.45,19393,0.62,2153,0.07,1614,0.05,8474,0.27,37381,9118,0.24
2016,11211,40353,2304,0.06,38049,32060,0.84,83763,51788,55845,1951,2009,1520,1639,30.3,14905,0.46,19730,0.62,2253,0.07,1818,0.06,8484,0.26,38049,8732,0.23
2017,11211,41188,2528,0.07,38660,32234,0.83,84209,57130,60321,1953,2010,1645,1737,30.1,15806,0.49,19679,0.61,2268,0.07,1926,0.06,8498,0.26,38660,8040,0.21
2018,11211,42322,2938,0.07,39384,32900,0.84,84619,62028,63931,1955,2011,1789,1844,30.5,16214,0.49,20116,0.61,2382,0.07,1949,0.06,8656,0.26,39384,7929,0.2
2019,11211,43759,3324,0.08,40435,33582,0.83,84646,71681,72565,1959,2012,1931,1955,29.1,17155,0.51,20809,0.62,2104,0.06,2062,0.06,8584,0.26,40435,7809,0.19
2020,11211,44181,3360,0.08,40821,34275,0.84,86063,81312,81312,1962,2014,2040,2040,27.7,18161,0.53,20210,0.59,2170,0.06,2538,0.07,8830,0.26,40821,7179,0.18
2012,11212,33071,3214,0.11,29857,25242,0.85,64404,25021,28205,1953,2002,880,992,33.5,2116,0.08,245,0.01,21557,0.85,247,0.01,3882,0.15,29857,10030,0.34
2013,11212,33070,2903,0.1,30167,25449,0.84,66644,24929,27696,1954,2003,928,1031,34.4,2251,0.09,292,0.01,21997,0.86,202,0.01,3710,0.15,30167,10137,0.34
2014,11212,33532,2847,0.09,30685,26188,0.85,69560,24887,27208,1953,2004,936,1023,34.8,2747,0.1,326,0.01,22654,0.87,178,0.01,3911,0.15,30685,10448,0.34
2015,11212,34087,2644,0.08,31443,26761,0.85,69482,24460,26709,1952,2005,923,1008,34.8,3073,0.11,372,0.01,22744,0.85,207,0.01,4190,0.16,31443,10836,0.34
2016,11212,34569,2982,0.09,31587,26860,0.85,66681,24689,26623,1952,2006,956,1031,35.4,3277,0.12,378,0.01,22857,0.85,219,0.01,4166,0.16,31587,11051,0.35
2017,11212,34726,3242,0.1,31484,26936,0.86,62659,21870,23092,1953,2008,942,995,39,3362,0.12,354,0.01,22665,0.84,176,0.01,4404,0.16,31484,12214,0.39
2018,11212,34885,3431,0.11,31454,26805,0.85,56393,22398,23085,1951,2008,953,982,39.7,3448,0.13,320,0.01,22224,0.83,199,0.01,4657,0.17,31454,11791,0.37
2019,11212,35326,3524,0.11,31802,27245,0.86,56255,22975,23258,1951,2010,942,954,39,3435,0.13,354,0.01,21969,0.81,152,0.01,5214,0.19,31802,11615,0.37
2020,11212,34401,3194,0.1,31207,26681,0.85,55134,24898,24898,1952,2010,982,982,38.6,3331,0.12,408,0.02,20785,0.78,126,0,5026,0.19,31207,11033,0.35
2012,11213,25739,2510,0.11,23229,19481,0.84,47620,31343,35332,1939,2002,1014,1143,33.8,3377,0.17,2115,0.11,15601,0.8,137,0.01,1935,0.1,23229,6588,0.28
2013,11213,25920,2408,0.1,23512,19865,0.84,48423,30589,33984,1939,2003,1024,1138,33.3,3473,0.17,2163,0.11,15350,0.77,270,0.01,2275,0.11,23512,6761,0.29
2014,11213,26184,2513,0.11,23671,20094,0.85,49359,30907,33789,1939,2004,1064,1163,34.4,3669,0.18,2253,0.11,15551,0.77,332,0.02,2184,0.11,23671,6776,0.29
2015,11213,26560,2397,0.1,24163,20813,0.86,51655,31023,33876,1939,2005,1076,1175,34.5,4164,0.2,2406,0.12,15731,0.76,411,0.02,2511,0.12,24163,7008,0.29
2016,11213,26894,2423,0.1,24471,20880,0.85,51687,33085,35677,1939,2006,1131,1220,34,4650,0.22,2637,0.13,15683,0.75,460,0.02,2577,0.12,24471,6663,0.27
2017,11213,27172,2441,0.1,24731,20781,0.84,51220,34997,36952,1939,2008,1166,1231,34.3,4845,0.23,2661,0.13,15341,0.74,522,0.03,2536,0.12,24731,6440,0.26
2018,11213,27467,2440,0.1,25027,21124,0.84,51726,36307,37421,0,2008,1236,1274,34.9,5284,0.25,2776,0.13,15683,0.74,435,0.02,2437,0.12,25027,6394,0.26
2019,11213,27728,2224,0.09,25504,21448,0.84,52140,39830,40321,0,2009,1257,1273,33.2,5543,0.26,3102,0.14,15315,0.71,500,0.02,2844,0.13,25504,6120,0.24
2020,11213,28469,2092,0.08,26377,21843,0.83,52474,42133,42133,0,2010,1339,1339,33.3,6371,0.29,3553,0.16,15209,0.7,432,0.02,2623,0.12,26377,5726,0.22
2012,11214,32359,2145,0.07,30214,19746,0.65,47663,33706,37995,1942,2003,1059,1194,33.6,4067,0.21,13073,0.66,309,0.02,3424,0.17,2792,0.14,30214,5072,0.17
2013,11214,32533,2118,0.07,30415,19898,0.65,50001,35783,39754,1943,2004,1103,1225,33.1,4521,0.23,13027,0.65,243,0.01,3688,0.19,2765,0.14,30415,5015,0.16
2014,11214,33251,1936,0.06,31315,20620,0.66,54377,38391,41971,1943,2005,1163,1271,33.7,5257,0.25,13060,0.63,200,0.01,4105,0.2,3022,0.15,31315,5572,0.18
2015,11214,33320,1808,0.06,31512,21140,0.67,57285,40271,43974,1945,2006,1198,1308,32.4,5909,0.28,13127,0.62,349,0.02,4382,0.21,3120,0.15,31512,6038,0.19
2016,11214,33464,1748,0.06,31716,21028,0.66,57554,41805,45080,1945,2007,1246,1344,32.3,6103,0.29,12580,0.6,403,0.02,4641,0.22,3229,0.15,31716,5644,0.18
2017,11214,33767,1822,0.06,31945,21029,0.66,58689,42858,45252,1943,2009,1305,1378,32.8,6556,0.31,12362,0.59,436,0.02,4935,0.23,3021,0.14,31945,5566,0.17
2018,11214,33770,1837,0.06,31933,21304,0.67,58707,44965,46345,1943,2010,1360,1402,32.8,6927,0.33,11841,0.56,488,0.02,4989,0.23,3575,0.17,31933,5869,0.18
2019,11214,33692,1869,0.06,31823,21125,0.66,58375,48753,49354,1941,2011,1430,1448,32.2,6869,0.33,11450,0.54,661,0.03,4813,0.23,3843,0.18,31823,5591,0.18
2020,11214,33632,1915,0.06,31717,20535,0.65,55650,48594,48594,1941,2011,1481,1481,33.1,7026,0.34,11039,0.54,647,0.03,4482,0.22,3972,0.19,31717,5531,0.17
2012,11215,30787,2229,0.08,28558,17809,0.62,37880,75524,85135,1939,2005,1706,1923,26.5,12255,0.69,11599,0.65,1025,0.06,1560,0.09,3301,0.19,28558,2326,0.08
2013,11215,30954,2132,0.07,28822,17847,0.62,38316,76653,85160,1939,2006,1778,1975,26.5,12570,0.7,11721,0.66,915,0.05,1636,0.09,3118,0.17,28822,2605,0.09
2014,11215,31230,2246,0.08,28984,18198,0.63,39469,83226,90987,1939,2008,1860,2033,26.5,13011,0.71,12216,0.67,952,0.05,1475,0.08,3081,0.17,28984,2437,0.08
2015,11215,31159,1977,0.07,29182,18215,0.62,39836,86939,94933,1939,2010,1914,2090,26.1,13541,0.74,12146,0.67,994,0.05,1585,0.09,2984,0.16,29182,2415,0.08
2016,11215,31015,2008,0.07,29007,18089,0.62,39375,94304,101692,1939,2011,2000,2157,26,13612,0.75,12273,0.68,962,0.05,1385,0.08,2934,0.16,29007,2449,0.08
2017,11215,31062,2182,0.08,28880,17393,0.6,38046,99230,104773,1939,2011,2123,2242,25.4,13307,0.77,11744,0.68,1002,0.06,1385,0.08,2815,0.16,28880,2405,0.08
2018,11215,30920,2285,0.08,28635,17024,0.59,37203,103015,106176,0,2012,2216,2284,25.3,13203,0.78,11404,0.67,1134,0.07,1369,0.08,2695,0.16,28635,2263,0.08
2019,11215,30479,2034,0.07,28445,16687,0.59,36882,111325,112698,0,2013,2270,2298,24.7,13075,0.78,11163,0.67,1153,0.07,1431,0.09,2526,0.15,28445,2210,0.08
2020,11215,30992,2278,0.08,28714,17092,0.6,37478,116434,116434,0,2015,2332,2332,24.2,13640,0.8,11871,0.69,966,0.06,1247,0.07,2646,0.15,28714,1940,0.07
2012,11216,26648,3868,0.17,22780,17815,0.78,38773,35776,40329,1939,2004,1072,1208,33.1,5535,0.31,2513,0.14,13214,0.74,507,0.03,1825,0.1,22780,5202,0.23
2013,11216,26578,3746,0.16,22832,17555,0.77,38346,38779,43083,1939,2005,1102,1224,32.2,6003,0.34,3026,0.17,12411,0.71,642,0.04,1633,0.09,22832,5019,0.22
2014,11216,26889,3679,0.16,23210,18275,0.79,40060,39530,43216,1939,2006,1146,1253,32.4,6546,0.36,3472,0.19,12532,0.69,631,0.03,1868,0.1,23210,4956,0.21
2015,11216,26721,3673,0.16,23048,18330,0.8,39902,40477,44199,1939,2008,1160,1267,31.4,6940,0.38,3792,0.21,12004,0.65,653,0.04,1912,0.1,23048,4714,0.2
2016,11216,26892,3263,0.14,23629,18650,0.79,40941,44550,48040,1939,2009,1220,1316,31.1,7859,0.42,4566,0.24,11321,0.61,723,0.04,1926,0.1,23629,4721,0.2
2017,11216,27036,3236,0.14,23800,18687,0.79,41730,49340,52096,1939,2010,1292,1364,30.6,8107,0.43,4784,0.26,10626,0.57,744,0.04,2391,0.13,23800,4473,0.19
2018,11216,27273,3194,0.13,24079,18751,0.78,40382,52666,54282,0,2011,1408,1451,30.1,8670,0.46,5353,0.29,10089,0.54,811,0.04,2384,0.13,24079,4228,0.18
2019,11216,28008,3137,0.13,24871,19334,0.78,41024,59452,60185,0,2012,1520,1539,28.7,9582,0.5,6077,0.31,9672,0.5,965,0.05,2406,0.12,24871,4306,0.17
2020,11216,28470,2699,0.1,25771,19546,0.76,40295,65565,65565,0,2014,1676,1676,28,10544,0.54,6486,0.33,9022,0.46,894,0.05,2321,0.12,25771,3934,0.15
2012,11217,18316,1692,0.1,16624,11808,0.71,24472,59319,66868,1939,2004,1562,1761,27.3,6953,0.59,5720,0.48,2686,0.23,678,0.06,2590,0.22,16624,2086,0.13
2013,11217,18302,1576,0.09,16726,11884,0.71,25078,63596,70654,1939,2005,1650,1833,27,7288,0.61,5999,0.5,2560,0.22,716,0.06,2540,0.21,16726,2215,0.13
2014,11217,18371,1680,0.1,16691,11756,0.7,25055,70173,76716,1939,2007,1735,1897,26.8,7537,0.64,5959,0.51,2518,0.21,691,0.06,2561,0.22,16691,2147,0.13
2015,11217,18280,1483,0.09,16797,11824,0.7,25094,73626,80396,1939,2009,1743,1903,25.8,7861,0.66,5997,0.51,2504,0.21,676,0.06,2483,0.21,16797,1966,0.12
2016,11217,18291,1573,0.09,16718,11526,0.69,24486,78011,84123,1939,2010,1791,1931,24.4,7720,0.67,5913,0.51,2439,0.21,766,0.07,2283,0.2,16718,1931,0.12
2017,11217,18500,1644,0.1,16856,11682,0.69,25577,83272,87923,1939,2011,1917,2024,24.1,7853,0.67,5874,0.5,2541,0.22,794,0.07,2304,0.2,16856,1900,0.11
2018,11217,19287,1840,0.11,17447,12230,0.7,27089,89406,92149,0,2012,2015,2077,24.1,8193,0.67,6035,0.49,2597,0.21,850,0.07,2437,0.2,17447,1994,0.11
2019,11217,20087,2013,0.11,18074,12860,0.71,27172,98140,99351,0,2013,2129,2155,23.9,8637,0.67,6173,0.48,2906,0.23,1086,0.08,2331,0.18,18074,2061,0.11
2020,11217,20776,2149,0.12,18627,13324,0.72,27623,103091,103091,1942,2015,2256,2256,24.1,9060,0.68,6173,0.46,2932,0.22,1312,0.1,2451,0.18,18627,2458,0.13
2012,11218,26315,1462,0.06,24853,16401,0.66,47414,42406,47802,1939,2003,1252,1411,33.3,6285,0.38,8980,0.55,1890,0.12,2241,0.14,3050,0.19,24853,4823,0.19
2013,11218,26296,1427,0.06,24869,16671,0.67,48720,41990,46650,1941,2004,1314,1460,34.7,6962,0.42,8819,0.53,1909,0.11,2370,0.14,3266,0.2,24869,4807,0.19
2014,11218,26201,1372,0.06,24829,16541,0.67,49138,43321,47361,1941,2004,1375,1503,35,7043,0.43,8872,0.54,1787,0.11,2300,0.14,3178,0.19,24829,4779,0.19
2015,11218,26248,1339,0.05,24909,16599,0.67,49923,44338,48415,1939,2005,1381,1508,34.3,7332,0.44,8683,0.52,1783,0.11,2282,0.14,3342,0.2,24909,4855,0.19
2016,11218,25975,1315,0.05,24660,16167,0.66,48775,48683,52497,1939,2007,1438,1551,33.5,7459,0.46,8383,0.52,1767,0.11,2342,0.14,3227,0.2,24660,4695,0.19
2017,11218,26127,1160,0.05,24967,16060,0.64,49005,50520,53342,1939,2008,1473,1555,33.4,7618,0.47,8222,0.51,1604,0.1,2503,0.16,3382,0.21,24967,4598,0.18
2018,11218,26025,1159,0.05,24866,15760,0.63,45724,55024,56712,1941,2009,1550,1598,32.2,7497,0.48,8115,0.51,1660,0.11,2405,0.15,3256,0.21,24866,3995,0.16
2019,11218,25913,1065,0.04,24848,15470,0.62,43160,57843,58557,1941,2010,1593,1613,32.3,7456,0.48,7845,0.51,1490,0.1,2527,0.16,3286,0.21,24848,3762,0.15
2020,11218,26426,1207,0.05,25219,15202,0.6,42405,57730,57730,1943,2011,1676,1676,33,7215,0.47,7718,0.51,1786,0.12,2611,0.17,2857,0.19,25219,3586,0.14
2012,11219,28695,2002,0.08,26693,19968,0.75,68719,30561,34450,1939,2003,1141,1286,41.8,3736,0.19,12286,0.62,390,0.02,3947,0.2,3457,0.17,26693,7825,0.29
2013,11219,28521,1912,0.07,26609,19971,0.75,71069,30197,33548,1939,2004,1176,1307,43.5,3339,0.17,12100,0.61,379,0.02,4107,0.21,3466,0.17,26609,8246,0.31
2014,11219,28511,1900,0.07,26611,20012,0.75,73553,30377,33210,1939,2005,1209,1322,44.7,3313,0.17,12093,0.6,355,0.02,4225,0.21,3399,0.17,26611,8395,0.32
2015,11219,28493,2103,0.08,26390,19564,0.74,71803,30496,33300,1939,2006,1245,1359,45.7,3340,0.17,11764,0.6,357,0.02,4023,0.21,3370,0.17,26390,8278,0.31
2016,11219,28140,1995,0.08,26145,19505,0.75,71517,30395,32776,1939,2007,1295,1396,46.8,3246,0.17,11622,0.6,389,0.02,4208,0.22,3235,0.17,26145,8167,0.31
