year,GEOID,tot_units,tot_vac_units,pct_vac,tot_occ_units,renter_occ_units,pct_rent,tot_pop_rou,med_hh_inc_rou,med_hh_inc_rou_2020_adj,med_yr_blt_rou,med_yr_moved_in_rou,med_gross_rent,med_gross_rent_2020_adj,med_rent_burden,tot_college_degree_rou,pct_college_deg_rou,tot_wh_rou,pct_wh_rou,tot_bl_rou,pct_bl_rou,tot_asn_rou,pct_asn_rou,tot_ltx_rou,pct_ltx_rou,tot_hh,tot_hh_pov,pct_pov
2017,10005,5442,1203,0.28,4239,3461,0.82,6873,157582,166384,1944,2013,3141,3316,26.2,3089,0.89,2584,0.75,163,0.05,459,0.13,160,0.05,4239,432,0.1
2018,10005,5585,1211,0.28,4374,3515,0.8,6994,180503,186041,0,2014,3226,3325,22.4,3152,0.9,2662,0.76,76,0.02,480,0.14,193,0.05,4374,450,0.1
2019,10005,5889,1526,0.35,4363,3444,0.79,6703,189087,191420,0,2015,3356,3397,21.5,3114,0.9,2740,0.8,39,0.01,503,0.15,129,0.04,4363,321,0.07
2020,10005,5979,1330,0.29,4649,3914,0.84,7127,184063,184063,0,2016,3501,3501,22.8,3617,0.92,2946,0.75,75,0.02,712,0.18,139,0.04,4649,288,0.06
2012,10006,2107,448,0.27,1659,1473,0.89,2395,114766,129371,1939,2007,2001,2256,24.2,1231,0.84,1054,0.72,59,0.04,216,0.15,46,0.03,1659,128,0.08
2013,10006,2000,402,0.25,1598,1430,0.89,2229,118952,132154,1939,2010,2001,2223,24.8,1170,0.82,1007,0.7,64,0.04,181,0.13,68,0.05,1598,135,0.08
2014,10006,2077,391,0.23,1686,1565,0.93,2747,121513,132844,1939,2011,2001,2188,26.1,1309,0.84,1112,0.71,67,0.04,276,0.18,79,0.05,1686,155,0.09
2015,10006,2155,410,0.23,1745,1583,0.91,2826,121513,132844,1939,2011,2824,3084,27.7,1346,0.85,1113,0.7,69,0.04,275,0.17,84,0.05,1745,170,0.1
2016,10006,2182,406,0.23,1776,1543,0.87,2852,123682,133372,1939,2012,2847,3070,29.1,1344,0.87,905,0.59,99,0.06,346,0.22,128,0.08,1776,145,0.08
2017,10006,2167,352,0.19,1815,1577,0.87,3121,134018,141504,1939,2013,3011,3179,26.5,1389,0.88,945,0.6,60,0.04,339,0.21,164,0.1,1815,114,0.06
2018,10006,2343,549,0.31,1794,1488,0.83,2912,170455,175685,0,2013,3229,3328,23.6,1316,0.88,904,0.61,36,0.02,319,0.21,159,0.11,1794,125,0.07
2019,10006,2329,600,0.35,1729,1330,0.77,2410,176719,178899,0,2015,3183,3222,23.4,1071,0.81,847,0.64,81,0.06,190,0.14,145,0.11,1729,78,0.05
2020,10006,2219,408,0.23,1811,1464,0.81,2697,186429,186429,0,2016,3371,3371,21.8,1269,0.87,910,0.62,136,0.09,214,0.15,133,0.09,1811,123,0.07
2012,10007,2825,366,0.15,2459,1740,0.71,3539,201375,227001,1991,2006,2001,2256,17.3,1537,0.88,1319,0.76,61,0.04,292,0.17,54,0.03,2459,108,0.04
2013,10007,2972,377,0.15,2595,1700,0.66,3337,185431,206011,1995,2007,2001,2223,19.2,1457,0.86,1256,0.74,55,0.03,332,0.2,38,0.02,2595,73,0.03
2014,10007,3038,392,0.15,2646,1645,0.62,3281,181612,198547,1996,2009,2001,2188,20.5,1417,0.86,1217,0.74,67,0.04,289,0.18,53,0.03,2646,101,0.04
2015,10007,3178,397,0.14,2781,1726,0.62,3311,202010,220585,1993,2010,3423,3738,17.5,1522,0.88,1351,0.78,17,0.01,292,0.17,57,0.03,2781,102,0.04
2016,10007,3209,466,0.17,2743,1734,0.63,3211,199464,215092,1989,2011,3339,3601,20.6,1496,0.86,1378,0.79,17,0.01,310,0.18,18,0.01,2743,120,0.04
2017,10007,3188,427,0.15,2761,1674,0.61,3293,178529,188501,1989,2012,3254,3436,21.5,1448,0.86,1439,0.86,0,0,193,0.12,20,0.01,2761,98,0.04
2018,10007,3366,635,0.23,2731,1763,0.65,3526,181439,187006,1988,2013,3394,3498,20.5,1642,0.93,1523,0.86,0,0,210,0.12,16,0.01,2731,75,0.03
2019,10007,3432,630,0.22,2802,1792,0.64,3635,177281,179468,1988,2014,3394,3436,20.7,1679,0.94,1477,0.82,72,0.04,211,0.12,0,0,2802,106,0.04
2020,10007,3652,712,0.24,2940,1943,0.66,3793,208994,208994,1988,2016,3501,3501,18.9,1864,0.96,1490,0.77,58,0.03,174,0.09,194,0.1,2940,81,0.03
2012,10009,31423,1531,0.05,29892,27441,0.92,56856,56384,63559,1945,2001,1400,1578,28.1,15853,0.58,15482,0.56,2058,0.07,3549,0.13,6113,0.22,29892,5435,0.18
2013,10009,31230,1665,0.06,29565,27239,0.92,57374,57914,64341,1945,2001,1436,1595,28.4,16144,0.59,15614,0.57,1949,0.07,3477,0.13,5827,0.21,29565,5479,0.19
2014,10009,31364,1504,0.05,29860,27507,0.92,56275,59084,64593,1946,2002,1470,1607,28.1,16610,0.6,15609,0.57,1849,0.07,3640,0.13,5962,0.22,29860,5696,0.19
2015,10009,31531,1761,0.06,29770,27731,0.93,56114,56531,61729,1946,2003,1485,1622,28.7,16465,0.59,15407,0.56,2075,0.07,3735,0.13,5964,0.22,29770,6141,0.21
2016,10009,31612,1550,0.05,30062,28036,0.93,55263,59753,64435,1946,2004,1554,1676,28.6,16647,0.59,15772,0.56,2175,0.08,3607,0.13,5932,0.21,30062,6258,0.21
2017,10009,31256,1531,0.05,29725,27614,0.93,55349,58908,62198,1946,2006,1549,1636,28.5,16380,0.59,15199,0.55,2582,0.09,3446,0.12,5919,0.21,29725,6555,0.22
2018,10009,31293,1565,0.05,29728,27846,0.94,53598,60034,61876,1946,2008,1642,1692,28.9,16500,0.59,15360,0.55,2695,0.1,3469,0.12,5946,0.21,29728,6578,0.22
2019,10009,31458,1694,0.06,29764,27927,0.94,53957,62161,62928,1947,2010,1723,1744,28.9,16202,0.58,15724,0.56,2520,0.09,3663,0.13,5728,0.21,29764,6639,0.22
